Sample	SNPClass	Sample	TgtRegionSize	TN	FN	TP	FP	Fscore	Sensitivity-Recall	Specificity	FDR	PPV	Precision	AltId	CmpFootprint	AllVarMeanDP	CovBin	Aligner	SNVCaller
I15x_HG006_grapev2_0-sent-sentd-DEL_gt50	DEL_gt50	I15x_HG006_grapev2_0	2518942743.0	2518942742.0	0.0	1.0	3.0	0.4	1.0	0.9999999988090241	0.75	0.25	0.25	HG006	giabHC	-1.0	-2.0	sent	sentd
I15x_HG006_grapev2_0-sent-sentd-INS_50	INS_50	I15x_HG006_grapev2_0	2518942743.0	2518740292.0	1876.0	200575.0	805.0	0.9933610842159218	0.9907335602195099	0.9999996803958926	0.00399741781706227	0.9960025821829377	0.9960025821829377	HG006	giabHC	-1.0	-2.0	sent	sentd
I15x_HG006_grapev2_0-sent-sentd-INS_gt50	INS_gt50	I15x_HG006_grapev2_0	2518942743.0	2518942733.0	3.0	7.0	3.0	0.7	0.7	0.9999999988090241	0.3	0.7	0.7	HG006	giabHC	-1.0	-2.0	sent	sentd
I15x_HG006_grapev2_0-sent-sentd-Indel_50	Indel_50	I15x_HG006_grapev2_0	2518942743.0	2518921515.0	187.0	21041.0	14.0	0.9952463164865312	0.9911908799698511	0.9999999944420659	0.0006649251959154595	0.9993350748040846	0.9993350748040846	HG006	giabHC	-1.0	-2.0	sent	sentd
I15x_HG006_grapev2_0-sent-sentd-Indel_gt50	Indel_gt50	I15x_HG006_grapev2_0	2518942743.0	2518942406.0	2.0	335.0	0.0	0.9970238095238095	0.9940652818991098	1.0	0.0	1.0	1.0	HG006	giabHC	-1.0	-2.0	sent	sentd
I15x_HG006_grapev2_0-sent-sentd-SNPts	SNPts	I15x_HG006_grapev2_0	2518942743.0	2516724779.0	15691.0	2202273.0	10462.0	0.9940973196328614	0.9929254938312795	0.9999958430271768	0.0047280853785021705	0.9952719146214978	0.9952719146214978	HG006	giabHC	-1.0	-2.0	sent	sentd
I15x_HG006_grapev2_0-sent-sentd-SNPtv	SNPtv	I15x_HG006_grapev2_0	2518942743.0	2517892291.0	8353.0	1042099.0	4950.0	0.9936576907472273	0.9920481849718026	0.9999980340738616	0.0047275724440785484	0.9952724275559215	0.9952724275559215	HG006	giabHC	-1.0	-2.0	sent	sentd
I1x_HG006_grapev2_0-sent-sentd-All	All	I1x_HG006_grapev2_0	2518942743.0	2515245629.0	2909987.0	787127.0	13854.0	0.3499823814303611	0.21290309143834893	0.9999944920195735	0.01729629042386773	0.9827037095761323	0.9827037095761323	HG006	giabHC	-1.0	-2.0	sent	sentd
I1x_HG006_grapev2_0-sent-sentd-DEL_50	DEL_50	I1x_HG006_grapev2_0	2518942743.0	2518734711.0	148024.0	60008.0	3151.0	0.4425515596019042	0.2884556222119674	0.9999987489766016	0.0498899602590288	0.9501100397409712	0.9501100397409712	HG006	giabHC	-1.0	-2.0	sent	sentd
I1x_HG006_grapev2_0-sent-sentd-DEL_gt50	DEL_gt50	I1x_HG006_grapev2_0	2518942743.0	2518942742.0	1.0	0.0	39.0		0.0	0.9999999845173141	1.0	0.0	0.0	HG006	giabHC	-1.0	-2.0	sent	sentd
I1x_HG006_grapev2_0-sent-sentd-INS_50	INS_50	I1x_HG006_grapev2_0	2518942743.0	2518736693.0	147523.0	58527.0	3246.0	0.4370573102384783	0.284042708080563	0.9999987112603609	0.052547229372055755	0.9474527706279442	0.9474527706279442	HG006	giabHC	-1.0	-2.0	sent	sentd
I1x_HG006_grapev2_0-sent-sentd-INS_gt50	INS_gt50	I1x_HG006_grapev2_0	2518942743.0	2518942733.0	9.0	1.0	1.0	0.16666666666666669	0.1	0.999999999603008	0.5	0.5	0.5	HG006	giabHC	-1.0	-2.0	sent	sentd
I1x_HG006_grapev2_0-sent-sentd-Indel_50	Indel_50	I1x_HG006_grapev2_0	2518942743.0	2518929007.0	11890.0	1846.0	12.0	0.23675772733102476	0.13439138031450204	0.9999999952360706	0.006458557588805167	0.9935414424111948	0.9935414424111948	HG006	giabHC	-1.0	-2.0	sent	sentd
I1x_HG006_grapev2_0-sent-sentd-Indel_gt50	Indel_gt50	I1x_HG006_grapev2_0	2518942743.0	2518942505.0	229.0	9.0	1.0	0.07258064516129031	0.037815126050420166	0.999999999603008	0.1	0.9	0.9	HG006	giabHC	-1.0	-2.0	sent	sentd
I1x_HG006_grapev2_0-sent-sentd-SNPts	SNPts	I1x_HG006_grapev2_0	2518942743.0	2516724501.0	1763630.0	454612.0	4576.0	0.3395883365764931	0.20494247246242744	0.9999981817669443	0.009965417214735577	0.9900345827852645	0.9900345827852645	HG006	giabHC	-1.0	-2.0	sent	sentd
I1x_HG006_grapev2_0-sent-sentd-SNPtv	SNPtv	I1x_HG006_grapev2_0	2518942743.0	2517891938.0	838681.0	212124.0	2828.0	0.33517333895842566	0.20186809160595925	0.9999988768394779	0.01315642562060367	0.9868435743793963	0.9868435743793963	HG006	giabHC	-1.0	-2.0	sent	sentd
I20x_HG006_grapev2_0-sent-sentd-All	All	I20x_HG006_grapev2_0	2497573920.0	2494080265.0	6254.0	3487401.0	6669.0	0.9981506141126046	0.9982098976573245	0.9999973260755634	0.0019086623908507842	0.9980913376091493	0.9980913376091493	HG006	giabHC_x_ultima	-1.0	-2.0	sent	sentd
I20x_HG006_grapev2_0-sent-sentd-DEL_50	DEL_50	I20x_HG006_grapev2_0	2497573920.0	2497422444.0	348.0	151128.0	156.0	0.9983353151010701	0.9977026063534817	0.9999999375356017	0.0010311731577694932	0.9989688268422305	0.9989688268422305	HG006	giabHC_x_ultima	-1.0	-2.0	sent	sentd
I20x_HG006_grapev2_0-sent-sentd-DEL_gt50	DEL_gt50	I20x_HG006_grapev2_0	2497573920.0	2497573919.0	0.0	1.0	2.0	0.5	1.0	0.9999999991992229	0.6666666666666666	0.33333333333333337	0.3333333333333333	HG006	giabHC_x_ultima	-1.0	-2.0	sent	sentd
I20x_HG006_grapev2_0-sent-sentd-INS_50	INS_50	I20x_HG006_grapev2_0	2497573920.0	2497428311.0	366.0	145243.0	215.0	0.998003896010197	0.9974864191087089	0.9999999139114503	0.001478089895364985	0.998521910104635	0.998521910104635	HG006	giabHC_x_ultima	-1.0	-2.0	sent	sentd
I20x_HG006_grapev2_0-sent-sentd-INS_gt50	INS_gt50	I20x_HG006_grapev2_0	2497573920.0	2497573916.0	0.0	4.0	1.0	0.888888888888889	1.0	0.9999999995996115	0.2	0.8	0.8	HG006	giabHC_x_ultima	-1.0	-2.0	sent	sentd
I20x_HG006_grapev2_0-sent-sentd-Indel_50	Indel_50	I20x_HG006_grapev2_0	2497573920.0	2497562190.0	28.0	11702.0	3.0	0.9986771922338382	0.997612958226769	0.9999999987988287	0.00025630072618539084	0.9997436992738146	0.9997436992738146	HG006	giabHC_x_ultima	-1.0	-2.0	sent	sentd
I20x_HG006_grapev2_0-sent-sentd-Indel_gt50	Indel_gt50	I20x_HG006_grapev2_0	2497573920.0	2497573641.0	0.0	279.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	HG006	giabHC_x_ultima	-1.0	-2.0	sent	sentd
I20x_HG006_grapev2_0-sent-sentd-SNPts	SNPts	I20x_HG006_grapev2_0	2497573920.0	2495406129.0	3559.0	2164232.0	4245.0	0.9982002957381785	0.9983582365643182	0.9999982988769927	0.0019575951232132043	0.9980424048767867	0.9980424048767867	HG006	giabHC_x_ultima	-1.0	-2.0	sent	sentd
I20x_HG006_grapev2_0-sent-sentd-SNPtv	SNPtv	I20x_HG006_grapev2_0	2497573920.0	2496557155.0	1953.0	1014812.0	2047.0	0.998033068059779	0.9980792021755273	0.9999991800715167	0.0020130617912611287	0.9979869382087388	0.9979869382087388	HG006	giabHC_x_ultima	-1.0	-2.0	sent	sentd
I30x_HG006_grapev2_0-sent-sentd-All	All	I30x_HG006_grapev2_0	2518942743.0	2515245987.0	16417.0	3680339.0	6356.0	0.9969156699218292	0.9955590793658007	0.9999974730169648	0.0017240373830761698	0.9982759626169239	0.9982759626169239	HG006	giabHC	-1.0	-2.0	sent	sentd
I30x_HG006_grapev2_0-sent-sentd-DEL_50	DEL_50	I30x_HG006_grapev2_0	2518942743.0	2518738890.0	646.0	203207.0	252.0	0.9977953018816043	0.996831049825119	0.9999998999499409	0.0012385787799999016	0.9987614212200001	0.9987614212200001	HG006	giabHC	-1.0	-2.0	sent	sentd
I30x_HG006_grapev2_0-sent-sentd-DEL_gt50	DEL_gt50	I30x_HG006_grapev2_0	2518942743.0	2518942742.0	0.0	1.0	3.0	0.4	1.0	0.9999999988090241	0.75	0.25	0.25	HG006	giabHC	-1.0	-2.0	sent	sentd
I30x_HG006_grapev2_0-sent-sentd-INS_50	INS_50	I30x_HG006_grapev2_0	2518942743.0	2518740719.0	729.0	201295.0	237.0	0.997606280169295	0.9963915178394647	0.9999999059053694	0.0011759919020304468	0.9988240080979696	0.9988240080979696	HG006	giabHC	-1.0	-2.0	sent	sentd
I30x_HG006_grapev2_0-sent-sentd-INS_gt50	INS_gt50	I30x_HG006_grapev2_0	2518942743.0	2518942733.0	2.0	8.0	2.0	0.8000000000000002	0.8	0.9999999992060161	0.2	0.8	0.8	HG006	giabHC	-1.0	-2.0	sent	sentd
