sample,rule,task_cost,HG_sample
Ods20xUds40x_HG006_sup-PAY77227_0.,ont.sentdhuo.1-24,8.931917,HG006
Ods20xUds40x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,3e-06,HG006
Ods30xUds10x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,0.980029,HG006
Ods30xUds10x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,0.006738,HG006
Ods30xUds10x_HG006_sup-PAY77227_0.,ont.sentdhuo.1-24,10.586565,HG006
Ods30xUds10x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,3e-06,HG006
Ods30xUds10x_HG006_sup-PAY77227_0.,ont.alignstats,0.065288,HG006
Ods5xUds20x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,3e-06,HG006
Ods5xUds20x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,1.100725,HG006
Ods5xUds20x_HG006_sup-PAY77227_0.,ont.sentdhuo.1-24,4.270389,HG006
Ods5xUds20x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,0.008492,HG006
Ods5xUds20x_HG006_sup-PAY77227_0.,ont.alignstats,0.011022,HG006
Ods20xUds15x_HG006_sup-PAY77227_0.,ont.alignstats,0.065121,HG006
Ods20xUds15x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,3e-06,HG006
Ods20xUds15x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,0.945519,HG006
Ods20xUds15x_HG006_sup-PAY77227_0.,ont.sentdhuo.1-24,7.583983,HG006
Ods20xUds15x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,0.006877,HG006
Ods5xUds15x_HG006_sup-PAY77227_0.,ont.sentdhuo.1-24,4.181848,HG006
Ods5xUds15x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,3e-06,HG006
Ods5xUds15x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,0.007623,HG006
Ods5xUds15x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,0.939687,HG006
all.,alignstats_smmary_compile,2.3e-05,
all.,alignstats_summary,4e-06,
I30x_HG006_grapev2_0.,sent.sentd.1-24,0.306717,HG006
I30x_HG006_grapev2_0.,sent.sentd.merge,0.000278,HG006
I30x_HG006_grapev2_0.,sent.sentd.concat.fofn,4e-06,HG006
I30x_HG006_grapev2_0.,sent.sentd.concordance,0.586806,HG006
I30x_HG006_grapev2_0.,sent.alNsort,0.838709,HG006
I30x_HG006_grapev2_0.,sent.mrkdup,0.359528,HG006
I30x_HG006_grapev2_0.,sent.alignstats,0.062946,HG006
I12x_HG006_grapev2_0.,sent.sentd.concordance,0.578455,HG006
I12x_HG006_grapev2_0.,sent.mrkdup,0.13622,HG006
I12x_HG006_grapev2_0.,sent.sentd.concat.fofn,4e-06,HG006
I12x_HG006_grapev2_0.,sent.alignstats,0.025115,HG006
I12x_HG006_grapev2_0.,sent.sentd.1-24,0.219594,HG006
I12x_HG006_grapev2_0.,sent.sentd.merge,0.000258,HG006
I12x_HG006_grapev2_0.,sent.alNsort,0.601529,HG006
I15x_HG006_grapev2_0.,sent.sentd.1-24,0.235954,HG006
I15x_HG006_grapev2_0.,sent.mrkdup,0.196076,HG006
I15x_HG006_grapev2_0.,sent.alNsort,0.636712,HG006
I15x_HG006_grapev2_0.,sent.alignstats,0.031271,HG006
I15x_HG006_grapev2_0.,sent.sentd.merge,0.000272,HG006
I15x_HG006_grapev2_0.,sent.sentd.concordance,0.582457,HG006
I15x_HG006_grapev2_0.,sent.sentd.concat.fofn,4e-06,HG006
I9x_HG006_grapev2_0.,sent.sentd.concordance,0.565737,HG006
I9x_HG006_grapev2_0.,sent.sentd.concat.fofn,4e-06,HG006
I9x_HG006_grapev2_0.,sent.sentd.merge,0.000254,HG006
I9x_HG006_grapev2_0.,sent.alNsort,0.589205,HG006
I9x_HG006_grapev2_0.,sent.sentd.1-24,0.191657,HG006
I9x_HG006_grapev2_0.,sent.mrkdup,0.089153,HG006
I9x_HG006_grapev2_0.,sent.alignstats,0.019203,HG006
I1x_HG006_grapev2_0.,sent.sentd.concordance,0.319596,HG006
I1x_HG006_grapev2_0.,sent.alNsort,0.538795,HG006
I1x_HG006_grapev2_0.,sent.mrkdup,0.019677,HG006
I1x_HG006_grapev2_0.,sent.sentd.merge,5.8e-05,HG006
