sample,normalized_rule,Total_runtime_user,Total_runtime_cpu,Total_cost,Total_snake_threads,Avg_cpu_efficiency,Avg_task_cost,Runtime_cpu_per_vcpu
I9x_HG006_grapev2_0.,sent.sentd.merge,23.4921,149.64,0.000254,4,1.5925,0.000254,37.41
Ods10xUds10x_HG006_sup-PAY77227_0.,ont.sentdhuo,7474.7569,26227.199999999997,6.184531,192,0.0183,6.184531,136.6
Ods10xUds10x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,0.4011,0.0,3e-06,1,0.0,3e-06,0.0
Ods10xUds10x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,2619.2996,36367.68,0.95448,96,0.1446,0.95448,378.83
Ods10xUds10x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,29.4647,3160.32,0.007158,64,1.6759,0.007158,49.38
Ods10xUds15x_HG006_sup-PAY77227_0.,ont.sentdhuo,7168.3884,22368.0,5.931045,192,0.0163,5.931045,116.5
Ods10xUds15x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,0.3542,0.0,3e-06,1,0.0,3e-06,0.0
Ods10xUds15x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,2645.6094,42381.12,0.964067,96,0.1669,0.964067,441.47
Ods10xUds15x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,30.0803,3190.4,0.007308,64,1.6572,0.007308,49.85
Ods10xUds20x_HG006_sup-PAY77227_0.,ont.alignstats,143.718,12834.56,0.019881,32,2.7907,0.019881,401.08
Ods10xUds20x_HG006_sup-PAY77227_0.,ont.sentdhuo,7053.7334,22494.72,5.854599,192,0.0166,5.854599,117.16000000000001
Ods10xUds20x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,0.4075,0.0,3e-06,1,0.0,3e-06,0.0
Ods10xUds20x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,2638.3712,576.0,1.094924,96,0.0023,1.094924,6.0
Ods10xUds20x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,30.1523,3190.4,0.008342,64,1.6533,0.008342,49.85
Ods10xUds30x_HG006_sup-PAY77227_0.,ont.alignstats,374.1305,12332.8,0.051713,32,1.0301,0.051713,385.4
Ods10xUds30x_HG006_sup-PAY77227_0.,ont.sentdhuo,7963.9087,29118.72,6.645439,192,0.019,6.645439,151.66
Ods10xUds30x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,0.5172,0.0,4e-06,1,0.0,4e-06,0.0
Ods10xUds30x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,2668.1845,33824.64,0.954024,96,0.1321,0.954024,352.34
Ods10xUds30x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,30.8028,3223.68,0.007342,64,1.6352,0.007342,50.37
Ods10xUds40x_HG006_sup-PAY77227_0.,ont.alignstats,187.1821,11107.2,0.025873,32,1.8543,0.025873,347.1
Ods10xUds40x_HG006_sup-PAY77227_0.,ont.sentdhuo,8615.0193,30808.32,7.188755,192,0.0186,7.188755,160.46
Ods10xUds40x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,0.3692,0.0,3e-06,1,0.0,3e-06,0.0
Ods10xUds40x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,2676.4298,31059.840000000004,0.956972,96,0.1209,0.956972,323.54
Ods10xUds40x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,31.1109,3250.56,0.008565,64,1.6325,0.008565,50.79
Ods10xUds5x_HG006_sup-PAY77227_0.,ont.sentdhuo,7756.693,26868.48,6.417802,192,0.018,6.417802,139.94
Ods10xUds5x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,0.363,0.0,3e-06,1,0.0,3e-06,0.0
Ods10xUds5x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,2542.4771,300.48,0.926486,96,0.0012,0.926486,3.1300000000000003
Ods10xUds5x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,27.4417,3093.12,0.006667,64,1.7612,0.006667,48.33
Ods10x_HG006_sup-PAY77227_0.,ont.sentdont,2391.1013,69955200.0,1.97598,192,152.3775,1.97598,364350.0
Ods10x_HG006_sup-PAY77227_0.,ont.sentdont.concat.fofn,0.4491,0.0,3e-06,1,0.0,3e-06,0.0
Ods10x_HG006_sup-PAY77227_0.,ont.sentdont.concordance,2698.8076,52701.12,1.115132,96,0.2034,1.115132,548.97
Ods10x_HG006_sup-PAY77227_0.,ont.sentdont.merge,41.9457,2512.64,0.01019,64,0.936,0.01019,39.26
Ods15xUds10x_HG006_sup-PAY77227_0.,ont.sentdhuo,8489.574,23452.800000000003,7.024179,192,0.0144,7.024179,122.15000000000002
Ods15xUds10x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,0.3976,0.0,3e-06,1,0.0,3e-06,0.0
Ods15xUds10x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,2634.4453,31771.199999999997,0.959999,96,0.1256,0.959999,330.95
Ods15xUds10x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,28.8648,3168.64,0.007012,64,1.7152,0.007012,49.51
Ods15xUds15x_HG006_sup-PAY77227_0.,ont.sentdhuo,9152.4563,22901.760000000002,7.572641,192,0.013,7.572641,119.28000000000002
Ods15xUds15x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,0.4013,0.0,3e-06,1,0.0,3e-06,0.0
Ods15xUds15x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,2589.6493,37881.600000000006,0.943675,96,0.1524,0.943675,394.6000000000001
Ods15xUds15x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,27.859,3120.64,0.006768,64,1.7502,0.006768,48.76
Ods15xUds20x_HG006_sup-PAY77227_0.,ont.alignstats,204.9539,19028.8,0.028352,32,2.9014,0.028352,594.65
Ods15xUds20x_HG006_sup-PAY77227_0.,ont.sentdhuo,8342.3352,21283.199999999997,6.924138,192,0.0133,6.924138,110.84999999999998
Ods15xUds20x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,0.3677,0.0,3e-06,1,0.0,3e-06,0.0
Ods15xUds20x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,2731.4728,42689.28,1.133561,96,0.1628,1.133561,444.68
Ods15xUds20x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,29.6763,3080.96,0.00821,64,1.6222,0.00821,48.14
Ods15xUds30x_HG006_sup-PAY77227_0.,ont.alignstats,361.5516,18793.28,0.049974,32,1.6244,0.049974,587.29
Ods15xUds30x_HG006_sup-PAY77227_0.,ont.sentdhuo,8954.7844,21932.16,9.508986,192,0.0128,9.508986,114.23
