Name	X	Y
background: AMR	0.28	1.807
background: AMR	0.299	1.085
background: AMR	0.193	1.018
background: AMR	0.344	0.594
background: AMR	0.727	2.028
background: AMR	0.534	1.266
background: AMR	-1.543	-0.257
background: AMR	0.344	0.484
background: AMR	0.174	1.295
background: AMR	0.585	0.648
background: AMR	0.696	0.348
background: AMR	1.186	0.562
background: AMR	0.18	-1.705
background: AMR	0.425	1.205
background: AMR	1.005	1.543
background: AMR	1.635	0.922
background: AMR	1.142	1.194
background: AMR	-0.338	0.494
background: AMR	0.339	1.184
background: AMR	-0.234	0.759
background: AMR	0.09	1.513
background: AMR	1.133	1.331
background: AMR	0.358	0.188
background: AMR	-0.031	-0.334
background: AMR	0.116	1.223
background: AMR	0.2	0.883
background: AMR	0.795	1.483
background: AMR	0.522	-0.528
background: AMR	1.029	0.237
background: AMR	0.482	1.872
background: AMR	0.099	0.729
background: AMR	-0.206	1.165
background: AMR	0.145	0.974
background: AMR	-0.465	0.195
background: AMR	-0.102	0.336
background: AMR	0.95	1.902
background: AMR	0.685	1.096
background: AMR	-0.301	1.272
background: AMR	0.638	0.23
background: AMR	1.01	-0.114
background: AMR	-0.412	1.002
background: AMR	0.356	1.966
background: AMR	0.183	0.7
background: AMR	0.83	0.951
background: AMR	0.7	0.972
background: AMR	-0.968	0.041
background: AMR	0.284	2.012
background: AMR	2.474	1.455
background: AMR	-0.591	-0.006
background: AMR	-1.275	-0.974
background: AMR	0.542	0.541
background: AMR	0.076	0.453
background: AMR	-0.312	1.894
background: AMR	0.999	0.16
background: AMR	1.115	0.332
background: AMR	0.586	0.022
background: AMR	0.185	0.375
background: AMR	0.924	1.275
background: AMR	-0.459	2.652
background: AMR	0.073	0.999
background: AMR	0.286	0.49
background: AMR	-1.179	1.098
background: AMR	0.295	1.318
background: AMR	0.689	-0.149
background: AMR	0.742	0.754
background: AMR	0.956	1.358
background: AMR	1.022	0.679
background: AMR	-0.76	1.053
background: AMR	0.486	1.405
background: AMR	1.053	0.995
background: AMR	0.938	1.18
background: AMR	0.898	0.673
background: AMR	0.094	1.316
background: AMR	-0.199	1.227
background: AMR	1.422	1.439
background: AMR	0.093	0.31
background: AMR	1.395	0.627
background: AMR	0.267	1.318
background: AMR	0.595	1.28
background: EUR	0.114	0.946
background: AMR	1.058	1.341
background: AMR	-0.976	1.843
background: AMR	0.512	0.787
background: AMR	0.443	-0.488
background: AMR	0.386	1.234
background: AMR	0.993	-0.232
background: AMR	0.703	1.221
background: AMR	-0.181	1.671
background: AMR	0.244	0.84
background: AMR	1.583	0.12
background: AMR	0.798	0.847
background: AMR	1.296	1.353
background: AMR	0.268	1.717
background: AMR	0.714	-0.008
background: AMR	0.631	0.083
background: AMR	0.962	0.861
background: AMR	-0.042	-0.288
background: AMR	0.895	1.022
background: AMR	0.275	0.545
background: AMR	0.646	1.202
background: AMR	0.95	1.588
background: AMR	0.35	1.387
background: AMR	1.895	0.871
background: AMR	1.251	0.078
background: AMR	-0.402	0.052
background: AMR	1.01	0.502
background: AMR	1.242	-0.088
background: AMR	-0.065	-0.437
background: AMR	0.221	1.351
background: AMR	0.98	0.184
background: AMR	0.285	1.881
background: AMR	1.198	1.702
background: AMR	-0.34	-0.667
background: AMR	-0.953	0.795
background: AMR	1.032	0.195
background: AMR	0.983	1.947
background: AMR	0.679	-0.789
background: AMR	0.207	2.357
background: AMR	-0.213	1.381
background: AMR	1.424	1.47
background: AMR	1.163	-0.31
background: AMR	0.223	-0.193
background: AMR	0.463	0.728
background: AMR	0.146	0.031
background: AMR	1.602	-0.204
background: AMR	1.46	0.835
background: AMR	0.366	0.452
background: AMR	0.655	0.747
background: AMR	0.279	0.265
background: AMR	0.341	0.777
background: AMR	0.068	0.468
background: AMR	0.491	1.008
background: AMR	0.978	-0.063
background: AMR	0.191	-0.518
background: AMR	1.334	-0.494
background: AMR	0.703	0.349
background: AMR	1.125	1.385
background: AMR	0.437	2.342
background: AMR	-0.844	-0.706
background: AMR	1.694	1.203
background: AMR	-0.394	0.726
background: AMR	1.115	1.621
background: AMR	1.427	0.89
background: AMR	-0.141	0.637
background: AMR	-0.078	2.293
background: AMR	1.932	1.496
background: AMR	0.106	0.618
background: AMR	1.212	1.147
background: EUR	1.585	1.778
background: EUR	-0.797	1.321
background: EUR	1.541	0.806
background: EUR	0.815	2.059
